2026-06-09T12:31:20.293475 [UDP_SERVER] start port=12346 drop_rate=0.3
2026-06-09T12:31:48.668681 [UDP_SERVER] recv SYN seq=0 student_id=20995 decoded=2111 from ('127.0.0.1', 56249)
2026-06-09T12:31:48.671066 [UDP_SERVER] send SYN-ACK seq=0 time=12-31-48 to ('127.0.0.1', 56249)
2026-06-09T12:31:48.675564 [UDP_SERVER] recv DATA seq=0 from ('127.0.0.1', 56249)
2026-06-09T12:31:48.677694 [UDP_SERVER] drop DATA seq=0 from ('127.0.0.1', 56249)
2026-06-09T12:31:48.680213 [UDP_SERVER] recv DATA seq=1 from ('127.0.0.1', 56249)
2026-06-09T12:31:48.682678 [UDP_SERVER] send ACK ack=0 time=12-31-48 to ('127.0.0.1', 56249) (retransmit)
2026-06-09T12:31:48.684142 [UDP_SERVER] recv DATA seq=2 from ('127.0.0.1', 56249)
2026-06-09T12:31:48.686046 [UDP_SERVER] send ACK ack=0 time=12-31-48 to ('127.0.0.1', 56249) (retransmit)
2026-06-09T12:31:48.989211 [UDP_SERVER] recv DATA seq=0 from ('127.0.0.1', 56249)
2026-06-09T12:31:48.990869 [UDP_SERVER] drop DATA seq=0 from ('127.0.0.1', 56249)
2026-06-09T12:31:48.992770 [UDP_SERVER] recv DATA seq=1 from ('127.0.0.1', 56249)
2026-06-09T12:31:48.994498 [UDP_SERVER] send ACK ack=0 time=12-31-48 to ('127.0.0.1', 56249) (retransmit)
2026-06-09T12:31:48.995807 [UDP_SERVER] recv DATA seq=2 from ('127.0.0.1', 56249)
2026-06-09T12:31:48.997501 [UDP_SERVER] send ACK ack=0 time=12-31-48 to ('127.0.0.1', 56249) (retransmit)
2026-06-09T12:31:49.296710 [UDP_SERVER] recv DATA seq=0 from ('127.0.0.1', 56249)
2026-06-09T12:31:49.299263 [UDP_SERVER] send ACK ack=1 time=12-31-49 to ('127.0.0.1', 56249)
2026-06-09T12:31:49.301650 [UDP_SERVER] recv DATA seq=1 from ('127.0.0.1', 56249)
2026-06-09T12:31:49.303244 [UDP_SERVER] send ACK ack=2 time=12-31-49 to ('127.0.0.1', 56249)
2026-06-09T12:31:49.304785 [UDP_SERVER] recv DATA seq=2 from ('127.0.0.1', 56249)
2026-06-09T12:31:49.306857 [UDP_SERVER] send ACK ack=3 time=12-31-49 to ('127.0.0.1', 56249)
2026-06-09T12:31:49.624317 [UDP_SERVER] recv FIN seq=3 from ('127.0.0.1', 56249)
2026-06-09T12:31:49.625717 [UDP_SERVER] send FIN-ACK seq=4 time=12-31-49 to ('127.0.0.1', 56249)
2026-06-09T12:32:19.882736 [UDP_SERVER] recv SYN seq=0 student_id=20995 decoded=2111 from ('127.0.0.1', 61353)
2026-06-09T12:32:19.885322 [UDP_SERVER] send SYN-ACK seq=0 time=12-32-19 to ('127.0.0.1', 61353)
2026-06-09T12:32:19.890100 [UDP_SERVER] recv DATA seq=0 from ('127.0.0.1', 61353)
2026-06-09T12:32:19.893409 [UDP_SERVER] send ACK ack=1 time=12-32-19 to ('127.0.0.1', 61353)
2026-06-09T12:32:19.895514 [UDP_SERVER] recv DATA seq=1 from ('127.0.0.1', 61353)
2026-06-09T12:32:19.897424 [UDP_SERVER] send ACK ack=2 time=12-32-19 to ('127.0.0.1', 61353)
2026-06-09T12:32:19.898697 [UDP_SERVER] recv DATA seq=2 from ('127.0.0.1', 61353)
2026-06-09T12:32:19.899755 [UDP_SERVER] drop DATA seq=2 from ('127.0.0.1', 61353)
2026-06-09T12:32:20.202566 [UDP_SERVER] recv DATA seq=2 from ('127.0.0.1', 61353)
2026-06-09T12:32:20.204592 [UDP_SERVER] send ACK ack=3 time=12-32-20 to ('127.0.0.1', 61353)
2026-06-09T12:32:20.515469 [UDP_SERVER] recv FIN seq=3 from ('127.0.0.1', 61353)
2026-06-09T12:32:20.516689 [UDP_SERVER] send FIN-ACK seq=4 time=12-32-20 to ('127.0.0.1', 61353)
